diff,Datetime
1,2020-11-20 10:00:00
1,2020-11-20 11:00:00
0,2020-11-20 12:00:00
1,2020-11-20 13:00:00
0,2020-11-20 15:00:00
0,2020-11-20 16:00:00
1,2020-11-20 17:00:00
1,2020-11-20 18:00:00
1,2020-11-20 19:00:00
0,2020-11-23 19:00:00
1,2020-11-24 11:00:00
1,2020-11-24 12:00:00
1,2020-11-25 11:00:00
1,2020-11-25 12:00:00
1,2020-11-25 13:00:00
1,2020-11-25 15:00:00
0,2020-11-25 16:00:00
1,2020-11-25 17:00:00
0,2020-11-25 18:00:00
0,2020-11-26 10:00:00
0,2020-11-26 13:00:00
0,2020-11-26 14:00:00
1,2020-11-26 15:00:00
0,2020-11-26 16:00:00
0,2020-11-26 17:00:00
0,2020-11-26 18:00:00
0,2020-11-26 19:00:00
0,2020-11-26 20:00:00
0,2020-11-26 21:00:00
0,2020-11-26 22:00:00
1,2020-11-26 23:00:00
1,2020-11-27 00:00:00
1,2020-11-27 01:00:00
1,2020-11-27 02:00:00
0,2020-11-27 10:00:00
0,2020-11-27 14:00:00
1,2020-11-29 18:00:00
1,2020-11-29 21:00:00
0,2020-11-29 22:00:00
1,2020-11-29 23:00:00
1,2020-11-30 00:00:00
0,2020-11-30 01:00:00
1,2020-11-30 02:00:00
1,2020-11-30 03:00:00
1,2020-11-30 04:00:00
1,2020-11-30 17:00:00
0,2020-11-30 22:00:00
1,2020-11-30 23:00:00
